   1    1  -1.472741877474e+01
   1    2   1.714115937868e+00
   2    2  -2.089743212443e+00
   1    3  -1.251243361597e+00
   2    3  -1.451795625796e+00
   3    3  -1.549129398700e+00
   4    4  -1.794815500023e+00
   5    5  -1.794815500023e+00
   6    6  -1.794815500023e+00
   4    7  -1.118497775847e+00
   7    7  -1.043914382541e+00
   5    8  -1.118497775847e+00
   8    8  -1.043914382541e+00
   6    9  -1.118497775847e+00
   9    9  -1.043914382541e+00
   1   10  -2.296803753451e-01
   2   10  -1.208322568249e+00
   3   10  -1.079208612882e+00
  10   10  -1.651703182812e+00
  11   11  -1.651703182812e+00
  12   12  -1.651703182812e+00
   1   13  -2.296803753451e-01
   2   13  -1.208322568249e+00
   3   13  -1.079208612882e+00
  10   13  -5.505677276041e-01
  13   13  -1.651703182812e+00
  14   14  -1.651703182812e+00
   1   15  -2.296803753451e-01
   2   15  -1.208322568249e+00
   3   15  -1.079208612882e+00
  10   15  -5.505677276041e-01
  13   15  -5.505677276041e-01
  15   15  -1.651703182812e+00
