     1     1     1     1   1.025819961067739
     1     1     1     2   1.045556294547143
     1     2     1     2   1.195721903790222
     1     1     2     2   1.081451846418321
     2     1     2     2   1.242890444585071
     1     2     2     2   1.242890444585071
     2     2     2     2   1.431307942924539
     1     1     1     3   0.917195809145574
     1     2     1     3   0.878266783457293
     1     3     1     3   0.896377735687121
     1     1     2     3   0.923454632820825
     2     1     2     3   1.051818293518042
     1     2     2     3   0.900331496638213
     2     2     2     3   1.031720062138300
     1     3     2     3   0.892170590702244
     2     3     2     3   1.012063963647869
     1     1     3     3   0.833702746402970
     2     1     3     3   0.786889847109499
     3     1     3     3   0.825598505261217
     1     2     3     3   0.786889847109499
     2     2     3     3   0.759024384250572
     3     2     3     3   0.768984392391923
     1     3     3     3   0.825598505261217
     2     3     3     3   0.768984392391923
     3     3     3     3   0.826340346250544
     1     1     1     4   0.628297431135852
     1     2     1     4   0.490899503834934
     1     3     1     4   0.638340616909162
     1     4     1     4   0.608043362810599
     1     1     2     4   0.619624126207562
     2     1     2     4   0.701361161307730
     1     2     2     4   0.499664764911860
     2     2     2     4   0.571135801067984
     1     3     2     4   0.623983841087042
     2     3     2     4   0.703904621019728
     1     4     2     4   0.578156583482662
     2     4     2     4   0.647327353958078
     1     1     3     4   0.580132564480252
     2     1     3     4   0.534501437374994
     3     1     3     4   0.582409479853940
     1     2     3     4   0.443248575625716
     2     2     3     4   0.423928166879542
     3     2     3     4   0.436056126303864
     1     3     3     4   0.595293950905953
     2     3     3     4   0.543014844830510
     3     3     3     4   0.602368501977753
     1     4     3     4   0.575379256026102
     2     4     3     4   0.508838493558646
     3     4     3     4   0.589806576545057
     1     1     4     4   0.415401438026045
     2     1     4     4   0.303849370508777
     3     1     4     4   0.430011871051828
     4     1     4     4   0.431982047275719
     1     2     4     4   0.303849370508777
     2     2     4     4   0.237728390520853
     3     2     4     4   0.310283436039496
     4     2     4     4   0.293669062611954
     1     3     4     4   0.430011871051828
     2     3     4     4   0.310283436039496
     3     3     4     4   0.447875756444460
     4     3     4     4   0.452353469513576
     1     4     4     4   0.431982047275719
     2     4     4     4   0.293669062611954
     3     4     4     4   0.452353469513576
     4     4     4     4   0.483099170512593
     1     5     1     5   1.361720556384412
     1     5     2     5   1.441228573729113
     2     5     2     5   1.670488802998951
     1     5     3     5   1.161570817978157
     2     5     3     5   1.164627826201583
     3     5     3     5   1.088958193468054
     1     5     4     5   0.754810788442229
     2     5     4     5   0.635877485216993
     3     5     4     5   0.741997022471610
     4     5     4     5   0.666336030581453
     1     1     5     5   0.207134801163098
     2     1     5     5   0.255367566822816
     3     1     5     5   0.145278480153986
     4     1     5     5   0.071264356972868
     1     2     5     5   0.255367566822816
     2     2     5     5   0.315200748208436
     3     2     5     5   0.179653227841395
     4     2     5     5   0.088178523641811
     1     3     5     5   0.145278480153986
     2     3     5     5   0.179653227841395
     3     3     5     5   0.103287168027052
     4     3     5     5   0.050856468568441
     1     4     5     5   0.071264356972868
     2     4     5     5   0.088178523641811
     3     4     5     5   0.050856468568441
     4     4     5     5   0.025069686963147
     5     5     5     5   2.256099546696399
     1     6     1     6   1.361720556384412
     1     6     2     6   1.441228573729113
     2     6     2     6   1.670488802998951
     1     6     3     6   1.161570817978157
     2     6     3     6   1.164627826201583
     3     6     3     6   1.088958193468054
     1     6     4     6   0.754810788442229
     2     6     4     6   0.635877485216993
     3     6     4     6   0.741997022471610
     4     6     4     6   0.666336030581453
     5     6     5     6   1.979842459345819
     1     1     6     6   0.207134801163098
     2     1     6     6   0.255367566822816
     3     1     6     6   0.145278480153986
     4     1     6     6   0.071264356972868
     1     2     6     6   0.255367566822816
     2     2     6     6   0.315200748208436
     3     2     6     6   0.179653227841395
     4     2     6     6   0.088178523641811
     1     3     6     6   0.145278480153986
     2     3     6     6   0.179653227841395
     3     3     6     6   0.103287168027052
     4     3     6     6   0.050856468568441
     1     4     6     6   0.071264356972868
     2     4     6     6   0.088178523641811
     3     4     6     6   0.050856468568441
     4     4     6     6   0.025069686963147
     5     5     6     6   0.138128543675290
     6     6     6     6   2.256099546696399
     1     7     1     7   1.361720556384412
     1     7     2     7   1.441228573729113
     2     7     2     7   1.670488802998951
     1     7     3     7   1.161570817978157
     2     7     3     7   1.164627826201583
     3     7     3     7   1.088958193468054
     1     7     4     7   0.754810788442229
     2     7     4     7   0.635877485216993
     3     7     4     7   0.741997022471610
     4     7     4     7   0.666336030581453
     5     7     5     7   1.979842459345819
     6     7     6     7   1.979842459345819
     1     1     7     7   0.207134801163098
     2     1     7     7   0.255367566822816
     3     1     7     7   0.145278480153986
     4     1     7     7   0.071264356972868
     1     2     7     7   0.255367566822816
     2     2     7     7   0.315200748208436
     3     2     7     7   0.179653227841395
     4     2     7     7   0.088178523641811
     1     3     7     7   0.145278480153986
     2     3     7     7   0.179653227841395
     3     3     7     7   0.103287168027052
     4     3     7     7   0.050856468568441
     1     4     7     7   0.071264356972868
     2     4     7     7   0.088178523641811
     3     4     7     7   0.050856468568441
     4     4     7     7   0.025069686963147
     5     5     7     7   0.138128543675290
     6     6     7     7   0.138128543675290
     7     7     7     7   2.256099546696399
     1     5     1     8   0.807450189319635
     1     8     1     8   1.052099085312960
     1     5     2     8   0.847329478094503
     2     5     2     8   0.980061835744556
     1     8     2     8   1.072321283263638
     2     8     2     8   1.226565716659468
     1     5     3     8   0.703770404655306
     2     5     3     8   0.698221113644663
     3     5     3     8   0.671047048794348
     1     8     3     8   0.954858230413116
     2     8     3     8   0.915176394005186
     3     8     3     8   0.941978434718410
